ubicacion,cod,descripcion,ff,laboratorio,lote,fv,presentacion,stock_inicial,entrada,salida,stoc_actual,precio_venta,comentarios
V-3,P129,ISDIN FOTOPROTECTOR FUSION WATER MAGIC X 50 ML,TBO,ISDIN,320111/406511,jul-26,UND,2,57,47,12, 114.90 ,
V-3,P130,ISDIN FOTOPROTECTOR PEDIATRICS GEL CREM X 250 ML,GEL-CREM,ISDIN,326911,sep-26,UND,10,52,48,14, 139.90 ,
V-3,P131,ISDIN FOTOPROTECTOR SPOT PREVENT FUSION FLUID X 50 ML,FLUIDO,ISDIN,31401F,may-26,UND,1,34,23,12, 139.90 ,
V-3,P132,ISDIN FOTOPROTECTOR UV MINERAL BRUSH  ON THE GO X 2 GR,POLVO,ISDIN,30231,ene-26,UND,2,6,5,3, 99.90 ,
V-3,P133,ISDIN HYDRATION UREADIN ULTRA 10 LOTION PLUS REP X 200 ML,LOCION,ISDIN,211211,,UND,7,0,7,0, 114.90 ,
V-3,P134,ISDIN ISDINCEUTICS HYALURONIC BOOSTER X 2 ML,AMP,ISDIN,T01,,CAJ X 5,2,1,3,0, 74.90 ,
V-3,P135,ISDIN ISDINCEUTICS PIGMENT EXPERT SERUM ACLAR. X 20 ML,AMP,ISDIN,T02,,CAJ X 10,8,9,17,0, 214.90 ,
V-3,P136,ISDIN ISDINCEUTICS PREVENT HYALURONIC CONCENTRATE SERUM X 30 ML,FCO,ISDIN,22461F,,UND,1,0,1,0, 204.90 ,
V-3,P137,ISDIN ISDINCEUTICS REJUVENATE FLAVO-C FORTE SERUM X 5.3 ML,FCO,ISDIN,,,CAJ X 1,1,0,1,0, 99.00 ,
V-3,P138,ISDIN ISDINCEUTICS REJUVENATE K-OxEYES CREAM X 15 GR,CREMA,ISDIN,215121,,UND,1,0,1,0, 195.90 ,
V-3,P139,ISDIN ISDINCEUTICS REJUVENATE RETINAL INTENSE SERUM X 50 ML,FCO,ISDIN,31651F/32801F,jun-26,UND,1,1,0,2, 299.90 ,
V-3,P140,ISDIN ISDINCEUTICS RENEW GLICOISDIN 25 INTENSE GEL X 50 GR,GEL,ISDIN,21961F,jul-25,UND,1,0,0,1, 184.90 ,
V-3,P141,ISDIN ISDINCEUTICS RENEW GLICOISDIN 8 SOF CREM X 50 GR,CREMA,ISDIN,21391F,may-25,UND,2,0,1,1, 164.90 ,
V-3,P142,ISDIN LAMBDAPIL ANTICAIDA LOC SPRAY X 125 ML,SPRAY,ISDIN,,,UND,4,0,4,0, 130.00 ,
V-3,P143,ISDIN NUTRADEICA DS FACIAL GEL CREAM X 50 ML,GEL,ISDIN,31741F,jun-26,UND,5,11,14,2, 109.90 ,
V-3,P144,ISDIN REPARADOR LABIAL C/AC HIALURONICO X 4 GR,TBO,ISDIN,,,UND,8,6,14,0, 42.00 ,
V-3,P145,ISDIN SI-NAILS FORTALECEDOR DE UÑAS X 2.5 ML,TBO,ISDIN,30871F/32661F,mar-26,UND,3,8,5,6, 119.90 ,
V-3,P146,ISDIN TEEN SKIN  ACNIBEN  LIM PURIFICANTE ESPUMA X 150 ML,ESPUMA,ISDIN,31732F/22932F,oct-25,UND,1,1,0,2, 59.90 ,
V-3,P147,ISDIN TEEN SKIN ACNIBEN BODY SPRAY X 150 ML,SPRAY,ISDIN,32841F1,oct-26,UND,4,36,25,15, 84.90 ,
V-3,P148,ISDIN TEEN SKIN ACNIBEN 3 ON THE SPOT,TBO,ISDIN,33351F,nov-26,UND,10,5,10,5, 59.90 ,
V-3,P336,ISDIN TEEN SKIN ACNIBEN 2 CONTROL X 40 ML,GEL-CREM,ISDIN,30761F,mar-26,UND,0,6,3,3, 59.90 ,
V-3,P337,ISDIN TEEN SKIN ACNIBEN RENOVADOR LABIAL X 10 ML,BALSAMO,ISDIN,30091F,,UND,0,30,30,0, 59.90 ,
V-3,P398,ISDIN TEEN SKIN RX ACNIBEN REPAIR GEL CREMA X 40 ML,GEL-CREM,ISDIN,23221F,nov-25,UND,0,6,0,6,. 104.90 ,
V-3,P653,ISDIN TEEN SKIN ACNIBEN MASCARILLA FACIAL X 75 ML,CREMA,ISDIN,32841N,oct-26,UND,0,6,2,4,. 99.00 ,
,,,,,,,,,,,,,
